Date,Open,High,Low,Close,Adj Close,Volume
2009-08-24,70.099998,70.940002,69.910004,70.760002,48.789314,9749000
2009-08-25,71.129997,71.500000,70.360001,70.650002,48.713463,11391400
2009-08-26,70.099998,71.199997,69.769997,71.089996,49.016842,7233600
2009-08-27,70.709999,71.220001,69.540001,71.000000,48.954788,8321900
2009-08-28,71.290001,71.400002,70.410004,70.680000,48.734146,7307000
2009-08-31,69.989998,70.379997,69.430000,69.940002,48.223919,8048200
2009-09-01,69.690002,70.269997,68.279999,68.480003,47.217251,11748200
2009-09-02,68.400002,69.150002,68.000000,68.040001,46.913857,8070700
2009-09-03,68.419998,68.650002,67.959999,68.330002,47.113823,7238400
2009-09-04,68.169998,69.120003,68.150002,68.959999,47.548218,6137600
2009-09-08,69.730003,70.690002,69.709999,70.480003,48.596256,9683100
2009-09-09,70.680000,71.029999,69.940002,70.330002,48.492825,8028300
2009-09-10,70.889999,71.739998,70.379997,71.449997,49.265060,9772300
2009-09-11,71.790001,71.959999,70.379997,70.750000,48.782425,9905800
2009-09-14,69.940002,71.129997,69.820000,71.040001,48.982372,7194400
2009-09-15,71.330002,71.699997,70.370003,71.629997,49.389183,10419000
2009-09-16,71.860001,72.599998,71.540001,72.449997,49.954563,11082100
2009-09-17,72.180000,72.750000,71.809998,71.970001,49.623615,8641400
2009-09-18,72.830002,73.370003,72.500000,72.639999,50.085579,16088900
2009-09-21,71.589996,72.389999,71.470001,72.050003,49.678776,9375200
2009-09-22,72.720001,72.970001,72.150002,72.629997,50.078686,7084700
2009-09-23,72.500000,72.879997,71.250000,71.370003,49.209919,9853100
2009-09-24,71.300003,71.599998,70.160004,70.709999,48.754833,10006100
2009-09-25,70.580002,71.389999,70.360001,70.660004,48.720367,7253000
2009-09-28,70.790001,71.970001,70.550003,71.699997,49.437450,6022900
2009-09-29,71.500000,71.800003,70.790001,70.910004,48.892742,7859100
2009-09-30,71.120003,71.139999,69.769997,70.430000,48.561779,13851300
2009-10-01,70.400002,70.400002,68.699997,68.809998,47.444778,9249900
2009-10-02,68.220001,68.790001,68.029999,68.139999,46.982807,8963500
2009-10-05,68.269997,69.800003,67.870003,69.389999,47.844681,9777800
2009-10-06,70.139999,70.849998,69.529999,70.559998,48.651398,8461400
2009-10-07,70.309998,70.690002,69.489998,70.510002,48.616955,6933700
2009-10-08,70.889999,71.820000,70.699997,71.449997,49.265060,10122200
2009-10-09,71.940002,72.940002,71.449997,72.760002,50.168324,8812300
2009-10-12,73.190002,74.099998,73.139999,73.669998,50.795773,6790200
2009-10-13,73.730003,74.410004,73.230003,74.070000,51.071571,9040600
2009-10-14,74.879997,75.739998,74.550003,75.459999,52.030003,9284200
2009-10-15,75.190002,76.860001,75.019997,76.690002,52.878082,10286700
2009-10-16,76.370003,76.989998,75.980003,76.809998,52.960823,9872000
2009-10-19,76.940002,78.050003,76.540001,77.660004,53.546894,8213600
2009-10-20,77.709999,77.709999,76.320000,77.029999,53.112495,8161100
2009-10-21,76.599998,78.360001,75.720001,76.970001,53.071121,8670700
2009-10-22,76.610001,77.730003,76.000000,77.290001,53.291790,12671400
2009-10-23,77.139999,77.379997,76.199997,76.680000,52.871181,8329200
2009-10-26,76.959999,78.440002,75.339996,75.449997,52.023079,11143100
2009-10-27,75.820000,77.250000,75.480003,76.589996,52.809124,9573800
2009-10-28,76.389999,77.040001,75.629997,75.889999,52.326466,11992600
2009-10-29,76.160004,78.220001,75.680000,77.949997,53.746841,14869300
2009-10-30,78.250000,78.500000,75.570000,76.540001,52.774654,19335400
2009-11-02,76.860001,77.599998,75.730003,76.639999,52.843597,11207900
2009-11-03,75.809998,77.330002,75.559998,76.699997,52.884983,8714500
2009-11-04,77.099998,77.500000,76.000000,76.279999,52.595360,10695700
2009-11-05,76.620003,77.750000,76.550003,77.239998,53.257313,9346100
2009-11-06,76.570000,77.580002,76.180000,77.529999,53.457256,7746600
2009-11-09,78.290001,78.379997,77.500000,77.660004,53.546894,13749300
2009-11-10,77.410004,78.440002,77.349998,78.339996,54.015759,10638200
2009-11-11,78.870003,79.139999,78.000000,78.510002,54.132984,7912700
2009-11-12,78.320000,78.599998,77.070000,77.419998,53.381416,8604200
2009-11-13,77.300003,78.510002,77.250000,77.940002,53.739975,7898700
2009-11-16,78.110001,78.860001,77.980003,78.610001,54.678978,8952600
2009-11-17,78.449997,79.040001,78.209999,78.809998,54.818081,6740900
2009-11-18,78.820000,78.989998,78.099998,78.919998,54.894596,7309200
2009-11-19,78.519997,78.680000,76.940002,77.339996,53.795589,8863500
2009-11-20,76.849998,77.230003,76.400002,76.769997,53.399117,10630700
2009-11-23,78.309998,79.239998,78.150002,78.739998,54.769402,8986100
2009-11-24,78.730003,79.230003,77.930000,79.029999,54.971119,8528300
2009-11-25,79.110001,79.820000,78.650002,79.639999,55.395458,7543700
2009-11-27,77.629997,78.730003,77.260002,78.169998,54.372936,5649700
2009-11-30,77.849998,78.669998,77.540001,78.040001,54.282513,9299800
2009-12-01,79.099998,79.419998,78.830002,79.059998,54.991985,7209500
2009-12-02,78.989998,79.010002,78.120003,78.730003,54.762455,6316200
2009-12-03,78.610001,78.820000,77.730003,77.959999,54.226864,7624200
2009-12-04,78.739998,79.250000,77.519997,78.070000,54.303360,9971300
2009-12-07,77.919998,78.919998,77.699997,78.169998,54.372936,7518800
2009-12-08,77.889999,77.980003,76.449997,76.760002,53.392170,9061700
2009-12-09,76.910004,77.309998,76.190002,77.059998,53.600834,7164500
2009-12-10,77.660004,78.339996,77.300003,77.419998,53.851246,10864100
2009-12-11,77.669998,78.169998,77.290001,77.760002,54.087734,6707000
2009-12-14,78.449997,78.709999,77.070000,77.260002,53.739964,8525900
2009-12-15,77.019997,77.970001,77.010002,77.370003,53.816475,10296900
2009-12-16,77.900002,78.690002,77.550003,77.889999,54.178162,12169800
2009-12-17,77.489998,77.550003,76.709999,76.779999,53.406078,8997500
2009-12-18,77.419998,77.669998,76.559998,76.900002,53.489548,16605200
2009-12-21,77.599998,78.000000,77.269997,77.500000,53.906895,6742500
2009-12-22,77.830002,78.040001,77.290001,77.489998,53.899933,6770300
2009-12-23,77.870003,77.930000,77.019997,77.040001,53.586933,7342600
2009-12-24,77.019997,77.500000,77.019997,77.430000,53.858200,2565500
2009-12-28,77.779999,77.900002,77.309998,77.769997,54.094692,4192800
2009-12-29,77.809998,77.940002,77.190002,77.209999,53.705173,4810600
2009-12-30,77.099998,77.669998,77.000000,77.650002,54.011215,4300800
2009-12-31,77.720001,77.779999,76.930000,76.989998,53.552139,4246600
2010-01-04,78.199997,79.199997,78.160004,79.059998,54.991985,10173800
2010-01-05,79.220001,79.620003,78.720001,79.620003,55.381500,10593700
2010-01-06,79.440002,80.000000,79.190002,79.629997,55.388470,11014600
2010-01-07,79.360001,79.699997,78.970001,79.330002,55.179783,9626900
2010-01-08,79.120003,79.470001,78.889999,79.470001,55.277180,5624300
2010-01-11,80.169998,81.089996,80.059998,80.879997,56.257912,11916800
2010-01-12,79.519997,80.449997,79.470001,80.410004,55.930996,12175200
2010-01-13,80.269997,80.410004,79.089996,79.800003,55.506691,10842200
2010-01-14,79.629997,79.800003,79.150002,79.550003,55.332825,6721000
2010-01-15,79.540001,79.690002,78.279999,79.230003,55.110237,13482300
2010-01-19,78.959999,79.750000,78.570000,79.680000,55.423241,8722200
2010-01-20,78.709999,78.930000,77.650002,78.150002,54.359032,8703800
2010-01-21,78.150002,78.180000,76.059998,76.239998,53.030468,12573200
2010-01-22,75.980003,76.589996,74.430000,74.589996,51.882782,13825000
2010-01-25,75.150002,75.269997,74.089996,74.550003,51.854958,9129700
2010-01-26,74.080002,74.879997,73.699997,74.150002,51.576710,10558200
2010-01-27,73.940002,74.360001,73.129997,73.699997,51.263714,13373200
2010-01-28,73.970001,74.180000,72.320000,73.239998,50.943752,12828800
2010-01-29,73.529999,74.070000,71.750000,72.120003,50.164722,15265600
2010-02-01,72.699997,73.739998,72.139999,73.580002,51.180252,11828500
2010-02-02,73.739998,74.580002,73.000000,74.449997,51.785397,12947600
2010-02-03,74.180000,74.360001,73.050003,73.209999,50.922863,14540300
2010-02-04,72.559998,72.830002,71.059998,71.370003,49.643036,15248400
